event,series,start,city,state,company,domain,hq,employees,ownership,founded,in_target_list,priority,bucket,have_contact
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,ESB Networks,esbnetworks.ie,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,FortisAlberta,fortisalberta.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,TransGard,transgardsolutions.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"PierTech Systems, LLC",piertech.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,City of Saskatoon,saskatoon.ca,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Green Grid Inc.,greengridinc.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,InnovationForce,innovationforce.io,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Thread,thread.one,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Public Utilities Maintenance,puminc.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Varasset,varasset.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Pacific NDT,pacificndt.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,AESO,aeso.ca,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,AltaLink,altalink.ca,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,ENWIN Utilities,enwin.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Exeter Ground LLC,exeterground.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Copperleaf Technologies Inc,copperleaf.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,London Hydro,londonhydro.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Forsite Consultants,forsite.ca,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Consolidated Edison Inc.,conedison.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Pepco,pepco.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Central Hudson Gas & Electric Corp.,cenhud.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,F P & L,fpl.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Evergy Co.,evergy.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,PUC Services Inc.,ssmpuc.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Slacan Industries,slacan.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Arkion,arkion.co,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Delta-X Research,deltaxresearch.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,SAE Inc.,saeinc.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Liveable Cities,liveablecities.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Gridraven,gridraven.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Laki Power,lakipower.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Trex-Ai,trex-ai.ca,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Hydro Ottawa,hydroottawa.com,,,,,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,Schaeffler AG,schaeffler.com,"Herzogenaurach, Germany",183044,Private Subsidiary,2011,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,SKF Group,skf.com,"Göteborg, Sweden",81666,Public,1907,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,Morgan Advanced Materials,morganadvancedmaterials.com,"Windsor, UK",9213,Public,1856,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,RENK Group AG,renk.com,"Augsburg, Germany",5011,Public,2003,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,Rexnord,rexnord.com,"Milwaukee, WI",4709,Public Subsidiary,1891,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,Innomotics,innomotics.com,,,,,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,ISOVOLTA Group,isovolta.com,,,,,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,OTC Industrial Technologies,otcindustrial.com,,,,,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,New York Blower Company,nyb.com,,,,,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,Toshiba Corporation.,toshiba.com,,,,,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,Doble Engineering Company,doble.com,,,,,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,National Electric Coil,national-electric-coil.com,,,,,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,Helwig Carbon Products,helwigcarbon.com,,,,,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,Rea Magnet Wire,reawire.com,,,,,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,Champlain Cable Corporation,champcable.com,,,,,,,,
Electrical Apparatus Service Association (EASA) Convention 2026,Electrical Apparatus Service Association EASA Convention,2026-06-13,Orlando,FL,WorldWide Electric Corp.,worldwideelectric.com,,,,,,,,
